image,level1,level2,language,ocr_text
images/train/1.jpg,troll,intersection,malayalam,അടുത്തകൊല്ലത്തെ മുഴപ്പിലങ്ങാട്‌ ചാണക കലശം
images/train/3.jpg,troll,intersection,malayalam,
images/train/4.jpg,troll,person,malayalam,നടി ാഖി ഒുവന്റിടിവാട്ട്‌ ഇന േഷിട്പിച്ചത്‌ പശുറുആ ണ്ട്‌
images/train/5.jpg,troll,person,malayalam,
images/train/6.jpg,troll,person,malayalam,അലുത്തരമല്ലേ ഇതൊക്കെ
images/train/7.jpg,troll,person,malayalam,ഇന്ത രണ്ട എതാലത്തെമയംം ദര്‍ബ്ല൯ ആയ പ്രധാന യല.
images/train/8.jpg,troll,person,malayalam,അതെ ഈ സമയത്ത്‌ പയാന്‍ പാടൂണോഎന്നിയില്ല ക: കി] ഉള്ളളളുശധുംജ് ്‌ ഉന്ത്യകണ്ടഏറ്വും മിക പ്രധാനമന്ത്രി മാരി ജി ആണ്‌
images/train/9.jpg,troll,person,malayalam,"260 ല്‍ അധികം കൊല്ലപ്പെട്ടു 70,000ല്‍ അധികം പേര്‍ അഭയാര്‍ഥികളായി ഒരിക്കല്‍ പോലും സന്ദര്‍ശിക്കാത്ത പ്രധാനമന്ത്രി ലി മണിലൂാര്‍ കലാപത്തിന്‌ രണ്ട്‌ വര്‍ഷം രജോ"
images/train/10.jpg,troll,person,malayalam,
images/train/11.jpg,troll,intersection,malayalam,കല്ലില്ലാതെ സെപ്തംബറും തീരുന്നു ജൂലൈയില്‍ ഫഞ്ഞു ഈമാസം ത്തക്കല്ല്‌ ടു മുങദമെക്കയിലെ ആയുത്ത്‌ നി കല്ലേലി ല്‌ 30:
images/train/12.jpg,troll,person,malayalam,
images/train/13.jpg,troll,person,malayalam,"അന്താരാഷ്ട്ര വിപണിയില്‍ . (ക്രൂഡ്‌ ഓയിലിന്‌ സ്ര വന്‍ വിലയിടിവ്‌ ലി, ഞ്ജ ി] ൫൮൨60ള്‍-ഡീസത ൮ി॥ ല്വിങ്ദും മൂഴി 900 ഭായി 08000 ലാറി"
images/train/16.jpg,troll,person,malayalam,അങ്ങ്‌ മറ്റെരു ലോകത്ത്‌ ശി കി പം. ഡ്ര്
images/train/17.jpg,troll,party,malayalam,നാല്‌ വര്‍ഷം മുന്‍പ്‌ ഇറങ്ങിയ പട്ടിന്റെ അര്‍ത്ഥം ഇന്നലെ രാത്രിയിലാണ്‌ സങ്കികള്‍ക്ക്‌ മനസിലായത്‌ എന്നറിഞ്ഞ വേടന്‍
images/train/18.jpg,troll,party,malayalam,സ്സ്‌ [| നടിയുടെ ജെട്ടിയുടെ കുള; നോകി പേടിക്കണം ്ു പേടിക്കണം ത്തു ഈ കോളളി ॥ വേഷം
